City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,dauphin,51.1494,-100.0502,39.34,70,90,11.5,CA,1635044224
133,san jeronimo,-11.9472,-75.2829,54.23,71,100,4.52,PE,1635044225
134,gamba,-2.65,10.0,75.97,88,100,3.67,GA,1635044225
135,lake havasu city,34.4839,-114.3224,77.0,34,1,1.99,US,1635043978
136,launceston,-41.45,147.1667,60.15,57,75,10.0,AU,1635043775
137,kasongo-lunda,-6.4667,16.8167,69.37,98,100,1.43,CD,1635043786
138,dikson,73.5069,80.5464,9.19,86,100,15.61,RU,1635043731
139,pangnirtung,66.1451,-65.7125,23.56,84,99,5.59,CA,1635044226
140,longkou,37.6508,120.3286,57.87,52,35,4.85,CN,1635044226
141,camana,-16.6228,-72.7111,62.58,79,79,8.72,PE,1635044226
142,nouakchott,18.0858,-15.9785,75.13,47,24,12.86,MR,1635043927
143,mbala,-8.8402,31.3659,64.38,48,86,3.47,ZM,1635044227
144,cambados,42.5122,-8.8131,57.85,89,0,3.58,ES,1635044227
145,la palma,33.8464,-118.0467,66.81,82,1,3.0,US,1635044227
146,mahebourg,-20.4081,57.7,76.24,83,40,11.5,MU,1635043666
147,faanui,-16.4833,-151.75,76.87,85,82,15.03,PF,1635043773
148,chapleau,47.8405,-83.4034,33.62,98,100,3.69,CA,1635044228
149,saint-philippe,-21.3585,55.7679,74.75,82,40,13.56,RE,1635043782
150,tevriz,57.509,72.4042,40.75,83,8,8.63,RU,1635044228
151,arona,28.0996,-16.681,66.74,68,20,9.22,ES,1635044228
152,corinto,37.9407,22.9573,67.44,84,60,4.54,GR,1635044228
153,belmonte,-15.8631,-38.8828,75.7,92,69,5.59,BR,1635043933
154,aklavik,68.2191,-135.0107,29.23,95,82,3.09,CA,1635043835
155,nome,64.5011,-165.4064,32.07,74,1,4.61,US,1635043797
156,upernavik,72.7868,-56.1549,19.08,90,100,13.35,GL,1635043632
157,guerrero negro,27.9769,-114.0611,66.47,81,8,17.72,MX,1635044097
158,ecoporanga,-18.3733,-40.8306,68.47,98,54,3.02,BR,1635044229
159,teguise,29.0605,-13.564,64.62,68,20,6.91,ES,1635044229
160,siderno,38.2779,16.302,73.58,93,100,14.47,IT,1635044230
161,ko samui,9.5357,99.9357,85.91,79,20,4.61,TH,1635043936
162,santa maria,-29.6842,-53.8069,61.9,94,90,5.75,BR,1635044230
163,castro,-24.7911,-50.0119,58.55,97,100,5.7,BR,1635043738
164,boquete,8.7833,-82.4333,65.84,100,100,0.54,PA,1635044230
165,nurobod,40.9056,69.8023,38.25,29,0,3.69,UZ,1635044231
166,plavsk,53.7094,37.2919,39.0,85,92,15.37,RU,1635044231
167,port blair,11.6667,92.75,84.24,79,40,2.3,IN,1635044231
168,meulaboh,4.1363,96.1285,83.46,69,77,1.57,ID,1635043832
169,gari,59.4307,62.3497,37.51,83,29,9.69,RU,1635044232
170,cape town,-33.9258,18.4232,55.11,75,20,6.91,ZA,1635044120
171,nuuk,64.1835,-51.7216,27.88,39,97,15.01,GL,1635043834
172,san antonio,29.4241,-98.4936,77.11,78,1,9.22,US,1635043835
173,leningradskiy,69.3833,178.4167,10.44,95,100,8.39,RU,1635043716
174,mangan,27.5167,88.5333,71.73,75,50,2.68,IN,1635044232
175,namatanai,-3.6667,152.4333,84.4,71,78,7.11,PG,1635043719
176,moron,-34.6534,-58.6198,60.55,56,0,3.0,AR,1635044206
177,kodiak,57.79,-152.4072,42.4,87,98,26.89,US,1635043784
178,tiksi,71.6872,128.8694,3.16,94,100,10.25,RU,1635043724
179,cabo san lucas,22.8909,-109.9124,80.51,71,7,1.01,MX,1635044068
180,batemans bay,-35.7167,150.1833,73.98,37,11,9.28,AU,1635044233
181,santa fe,-31.6333,-60.7,59.76,89,0,7.56,AR,1635044233
182,bengkulu,-3.8004,102.2655,78.6,83,99,3.83,ID,1635043611
183,tigil,57.8,158.6667,30.63,94,100,5.59,RU,1635043686
184,calvinia,-31.4707,19.776,37.22,100,90,4.61,ZA,1635044052
185,requena,39.4883,-1.1004,51.71,89,0,1.14,ES,1635044234
186,chapais,49.7834,-74.8492,33.58,93,100,0.81,CA,1635044234
187,lawrenceburg,38.0373,-84.8966,57.67,94,100,4.25,US,1635044234
188,zaozerne,45.1582,33.2787,54.95,69,100,13.85,UA,1635044235
189,saquena,-4.6667,-73.5167,74.39,93,27,2.8,PE,1635044235
190,amapa,1.0,-52.0,74.98,89,99,2.71,BR,1635044235
191,saint paul,44.9444,-93.0933,43.77,80,1,0.0,US,1635044068
192,vestmannaeyjar,63.4427,-20.2734,47.44,83,100,16.37,IS,1635044236
193,gravdal,68.1214,13.5031,37.49,95,100,13.67,NO,1635043792
194,sao joao da barra,-21.6403,-41.0511,72.34,90,5,22.68,BR,1635044236
195,kumluca,36.3703,30.2869,66.74,48,4,5.06,TR,1635044236
196,ixtapa,20.7,-105.2,83.23,84,100,5.01,MX,1635043572
197,nhulunbuy,-12.2333,136.7667,92.01,49,69,14.97,AU,1635044237
198,dingle,10.9995,122.6711,85.48,72,66,3.31,PH,1635043735
199,khvoynaya,58.9,34.5333,33.28,96,100,10.85,RU,1635044237
200,richards bay,-28.783,32.0377,66.42,76,100,16.55,ZA,1635044237
201,hovd,48.0056,91.6419,39.16,29,18,4.07,MN,1635043783
202,caravelas,-17.7125,-39.2481,74.39,90,95,3.33,BR,1635043732
203,talnakh,69.4865,88.3972,23.02,90,100,5.93,RU,1635044238
204,quang ngai,15.1167,108.8,75.7,94,100,8.93,VN,1635044238
205,lasa,46.6166,10.7002,39.61,46,2,1.92,IT,1635044238
206,manuk mangkaw,4.8,119.85,82.09,73,97,5.82,PH,1635044239
207,farah,32.5,62.5,53.17,21,0,0.89,AF,1635044239
208,sinnamary,5.3833,-52.95,78.4,86,93,10.02,GF,1635044239
